"['Stock: FLIR', 'Net: -8.35', 'Percent Gain: -16.0%']"
"['Stock: NVDA', 'Net: 334.67', 'Percent Gain: 178.46%']"
"['Stock: AON', 'Net: -17.1', 'Percent Gain: -7.49%']"
"['Stock: NTRS', 'Net: -7.56', 'Percent Gain: -7.51%']"
"['Stock: PBCT', 'Net: -2.51', 'Percent Gain: -16.26%']"
"['Stock: GD', 'Net: -37.96', 'Percent Gain: -20.32%']"
"['Stock: T', 'Net: -1.02', 'Percent Gain: -3.43%']"
"['Stock: PH', 'Net: 54.6', 'Percent Gain: 25.07%']"
"['Stock: PPL', 'Net: -1.39', 'Percent Gain: -100.0%']"
"['Stock: HOG', 'Net: 1.52', 'Percent Gain: 4.32%']"
"['Stock: BDX', 'Net: -69.13', 'Percent Gain: -21.65%']"
"['Stock: PNW', 'Net: -36.89', 'Percent Gain: -100.0%']"
"['Stock: QCOM', 'Net: 75.43', 'Percent Gain: 98.08%']"
"['Stock: HON', 'Net: 44.44', 'Percent Gain: 26.41%']"
"['Stock: AVGO', 'Net: 100.55', 'Percent Gain: 29.81%']"
"['Stock: COL', 'Net: -17.98', 'Percent Gain: -100.0%']"
"['Stock: PSA', 'Net: 5.57', 'Percent Gain: 2.47%']"
"['Stock: ICE', 'Net: 23.13', 'Percent Gain: 25.1%']"
"['Stock: CAT', 'Net: 37.44', 'Percent Gain: 25.9%']"
"['Stock: SPG', 'Net: 14.76', 'Percent Gain: 20.93%']"
"['Stock: RF', 'Net: -0.38', 'Percent Gain: -2.3%']"
"['Stock: SJM', 'Net: 4.91', 'Percent Gain: 4.44%']"
"['Stock: CVX', 'Net: -38.67', 'Percent Gain: -31.41%']"
"['Stock: SYF', 'Net: 5.56', 'Percent Gain: 19.07%']"
"['Stock: STX', 'Net: 14.46', 'Percent Gain: 30.31%']"
"['Stock: KR', 'Net: 7.58', 'Percent Gain: -100.0%']"
"['Stock: CME', 'Net: -32.73', 'Percent Gain: -15.24%']"
"['Stock: TJX', 'Net: -0.44', 'Percent Gain: -0.64%']"
"['Stock: STT', 'Net: -18.4', 'Percent Gain: -20.18%']"
"['Stock: LYB', 'Net: 5.52', 'Percent Gain: 6.41%']"
"['Stock: UA', 'Net: 0.15', 'Percent Gain: 1.02%']"
"['Stock: COO', 'Net: -28.13', 'Percent Gain: -7.19%']"
"['Stock: TXN', 'Net: 40.19', 'Percent Gain: 32.43%']"
"['Stock: MDT', 'Net: 16.52', 'Percent Gain: 16.42%']"
"['Stock: VRSK', 'Net: 30.51', 'Percent Gain: 17.23%']"
"['Stock: DVA', 'Net: 46.39', 'Percent Gain: 65.33%']"
"['Stock: MNST', 'Net: 22.71', 'Percent Gain: 32.55%']"
"['Stock: TSN', 'Net: -6.59', 'Percent Gain: -9.28%']"
"['Stock: D', 'Net: -21.35', 'Percent Gain: -100.0%']"
"['Stock: NEM', 'Net: 16.19', 'Percent Gain: -100.0%']"
"['Stock: YUM', 'Net: 4.48', 'Percent Gain: 4.3%']"
"['Stock: VFC', 'Net: 14.13', 'Percent Gain: 19.82%']"
"['Stock: EIX', 'Net: 0.59', 'Percent Gain: 0.95%']"
"['Stock: NRG', 'Net: -6.15', 'Percent Gain: -14.07%']"
"['Stock: AMD', 'Net: 60.65', 'Percent Gain: 195.27%']"
"['Stock: DIS', 'Net: 43.6', 'Percent Gain: 31.69%']"
"['Stock: PYPL', 'Net: 103.9', 'Percent Gain: 79.74%']"
"['Stock: ES', 'Net: -14.15', 'Percent Gain: -100.0%']"
"['Stock: ARE', 'Net: 7.37', 'Percent Gain: 4.31%']"
"['Stock: RL', 'Net: 9.83', 'Percent Gain: 10.47%']"
"['Stock: AMZN', 'Net: 1202.07', 'Percent Gain: 58.5%']"
"['Stock: XEL', 'Net: -10.56', 'Percent Gain: -100.0%']"
"['Stock: FIS', 'Net: -20.41', 'Percent Gain: -12.61%']"
"['Stock: QRVO', 'Net: 85.43', 'Percent Gain: 105.68%']"
"['Stock: FCX', 'Net: 13.83', 'Percent Gain: 113.45%']"
"['Stock: TRV', 'Net: 15.94', 'Percent Gain: 12.81%']"
"['Stock: AMGN', 'Net: 3.6', 'Percent Gain: -100.0%']"
"['Stock: RHI', 'Net: -6.25', 'Percent Gain: -9.09%']"
"['Stock: URI', 'Net: 59.12', 'Percent Gain: 34.21%']"
"['Stock: GT', 'Net: -1.74', 'Percent Gain: -13.75%']"
"['Stock: AMAT', 'Net: 24.05', 'Percent Gain: 38.63%']"
"['Stock: VNO', 'Net: -9.12', 'Percent Gain: -19.63%']"
"['Stock: SHW', 'Net: 197.95', 'Percent Gain: 36.86%']"
"['Stock: HPE', 'Net: 1.13', 'Percent Gain: 10.54%']"
"['Stock: AVY', 'Net: 41.54', 'Percent Gain: 36.58%']"
"['Stock: WHR', 'Net: 48.71', 'Percent Gain: 36.96%']"
"['Stock: STI', 'Net: 4.18', 'Percent Gain: 6.34%']"
"['Stock: ITW', 'Net: 29.74', 'Percent Gain: 17.08%']"
"['Stock: HRB', 'Net: -0.97', 'Percent Gain: -100.0%']"
"['Stock: WMB', 'Net: -2.65', 'Percent Gain: -11.67%']"
"['Stock: TIF', 'Net: 12.51', 'Percent Gain: 10.52%']"
"['Stock: IQV', 'Net: 17.0', 'Percent Gain: 10.48%']"
"['Stock: CDNS', 'Net: 50.64', 'Percent Gain: 59.03%']"
"['Stock: USB', 'Net: 7.45', 'Percent Gain: 19.03%']"
"['Stock: CNP', 'Net: -2.8', 'Percent Gain: -11.46%']"
"['Stock: KMI', 'Net: -4.67', 'Percent Gain: -25.46%']"
"['Stock: LKQ', 'Net: 0.32', 'Percent Gain: 0.92%']"
"['Stock: ALLE', 'Net: -9.54', 'Percent Gain: -7.58%']"
"['Stock: XEC', 'Net: -6.1', 'Percent Gain: -13.99%']"
"['Stock: VTR', 'Net: 6.69', 'Percent Gain: 15.8%']"
"['Stock: CMCSA', 'Net: 3.77', 'Percent Gain: 7.75%']"
"['Stock: MAT', 'Net: 3.25', 'Percent Gain: 22.89%']"
"['Stock: WEC', 'Net: -11.3', 'Percent Gain: -100.0%']"
"['Stock: AEP', 'Net: -12.07', 'Percent Gain: -100.0%']"
"['Stock: MHK', 'Net: 12.07', 'Percent Gain: 9.37%']"
